게임소프트웨어와서비스,담배, 판매업체,항공사,카드,레저용장비와제품,화장품,방송과엔터테인먼트,건강관리장비와용품,전자제품,무역회사와판매업체,생명과학도구및서비스,통신장비,석유와가스,상업서비스와공급품,백화점과일반상점,IT서비스,핸드셋,건강관리기술,가정용기기와용품,인터넷과카탈로그소매,음료,건축자재,교육서비스,기타금융,제약,가정용품,디스플레이장비및부품,출판,식품,"호텔,레스토랑,레저",건설,조선,건축제품,사무용전자제품,인터넷소프트웨어와서비스,기계,도로와철도운송,부동산,반도체와반도체장비,손해보험,우주항공과국방,소프트웨어,신용평가서비스,종이와목재,자동차부품,비철금속,가스유틸리티,포장재,다각화된통신서비스,디스플레이패널,건강관리업체및서비스,"섬유,의류,신발,호화품",항공화물운송과물류,운송인프라,식품과기본식료품소매,에너지장비및서비스,컴퓨터와주변기기,광고,결제관련서비스,전문소매,복합유틸리티,전기유틸리티,증권,전기장비,전기제품,화학,문구류,복합기업,생물공학,독립전력생산및에너지거래,철강,생명보험,전자장비와기기,자동차,가구,무선통신서비스,창업투자,은행,해운사
액토즈소프트,,,,,,글로본,KNN,신흥,,,바이오톡스텍,빛샘전자,,,,인포뱅크,KJ프리텍,,,,,홈센타홀딩스,,,카테아,,케이피에스,,사조씨푸드,,특수건설,현대중공업,,,,THE E&M,,,테스,,,케이사인,,,크린앤사이언스,현대비앤지스틸,,대영포장,,,,성안,,,,,,,,,,,SK증권,제룡산업,피앤이솔루션,동방아그로,,,오스코텍,,대동스틸,,바이오스마트,,,,,,
골프존뉴딘,,,,,,에이블씨엔씨,현대에이치씨엔,유앤아이,,,엠지메드,하이트론,,,,정원엔시스,솔루에타,,,,,삼표시멘트,,,에이프로젠제약,,아이씨디,,삼양사,,동원개발,에이치엘비,,,,동일금속,,,엑시콘,,,한컴MDS,,,세원정공,쎄니트,,금비,,,,동일방직,,,,,,,,,,,KTB투자증권,피앤씨테크,성문전자,바이오빌,,,녹십자셀,,동양에스텍,,에스디시스템,,,,,,
골프존,,,,,,아모레G,제이웨이,씨유메디칼,,,우정비에스씨,텔레필드,,,,다날,트레이스,,,,,일신석재,,,동화약품,,스킨앤스킨,,대상홀딩스,,고려개발,동방선기,,,,에스에프에이,,,어보브반도체,,,퓨전데이타,,,두올,백광소재,,세하,,,,방림,,,,,,,,,,,,제룡전기,피에스텍,파미셀,,,아이진,,현대제철,,씨엔플러스,,,,,,
넵튠,,,,,,클리오,SBS미디어홀딩스,세운메디칼,,,,코콤,,,,인포바인,알에프텍,,,,,고려시멘트,,,종근당,,삼진엘앤디,,크라운제과,,남화토건,현대미포조선,,,,태웅,,,시너지이노베이션,,,라온시큐어,,,KB오토시스,한창산업,,아세아,,,,토박스코리아,,,,,,,,,,,,대한광통신,삼화콘덴서,크리스탈신소재,,,서린바이오,,스틸플라워,,삼양옵틱스,,,,,,
네오위즈홀딩스,,,,,,코스온,덱스터,코렌텍,,,,RFHIC,,,,수산아이앤티,덕우전자,,,,,동원,,,이-글 벳,,토비스,,사조산업,,아이콘트롤스,한라IMS,,,,대동공업,,,코미코,,,이니텍,,,S&T중공업,포스코강판,,한국팩키지,,,,신세계인터내셔날,,,,,,,,,,,,지트리비앤티,뉴인텍,KCI,,,알테오젠,,동부제철,,심텍홀딩스,,,,,,
조이시티,,,,,,아우딘퓨쳐스,iMBC,인트로메딕,,,,이노인스트루먼트,,,,한일네트웍스,파트론,,,,,아세아시멘트,,,대웅제약,,파인테크닉스,,오뚜기,,현대건설,한진중공업홀딩스,,,,디에스티로봇,,,이오테크닉스,,,이글루시큐리티,,,평화산업,영풍,,동원시스템즈,,,,대원화성,,,,,,,,,,,,,에스피지,NPC,,,한스바이오메드,,문배철강,,대덕전자,,,,,,
조이맥스,,,,,,코스메카코리아,씨그널엔터테인먼트그룹,아이센스,,,,이노와이어리스,,,,브레인콘텐츠,삼우엠스,,,,,부산산업,,,대한약품,,서울반도체,,크라운해태홀딩스,,남광토건,중앙오션,,,,삼영엠텍,,,SKC 솔믹스,,,핸디소프트,,,현대모비스,풍산홀딩스,,,,,,아가방컴퍼니,,,,,,,,,,,,,삼화전기,국도화학,,,진원생명과학,,한국선재,,자화전자,,,,,,
액션스퀘어,,,,,,위노바,판타지오,솔고바이오,,,,암니스,,,,이루온,재영솔루텍,,,,,동양,,,대봉엘에스,,영우디에스피,,롯데푸드,,신원종합개발,STX엔진,,,,나라엠앤디,,,리노공업,,,안랩,,,오리엔트바이오,티플랙스,,,,,,화승인더,,,,,,,,,,,,,엘앤에프,웹스,,,프로스테믹스,,포스코엠텍,,동진쎄미켐,,,,,,
선데이토즈,,,,,,세화피앤씨,SBS콘텐츠허브,디알텍,,,,웨이브일렉트로,,,,아이지스시스템,에스코넥,,,,,LG하우시스,,,대한뉴팜,,제이엠티,,사조해표,,서한,,,,,스페코,,,코디엠,,,지니언스,,,화신,알루코,,,,,,아티스,,,,,,,,,,,,,,진양산업,,,신라젠,,경남스틸,,제이씨현시스템,,,,,,
플레이위드,,,,,,오가닉티코스메틱,NHN벅스,덴티움,,,,에이스테크,,,,이씨에스,서원인텍,,,,,한일시멘트,,,중앙백신,,베셀,,CJ제일제당,,삼호,,,,,계양전기,,,엠케이전자,,,닉스테크,,,GH신소재,이구산업,,,,,,일신방직,,,,,,,,,,,,,,진양홀딩스,,,아미코젠,,삼현철강,,남성,,,,,,
펄어비스,,,,,,에스엔피월드,한국경제TV,셀루메드,,,,에스넷,,,,케이아이엔엑스,육일씨엔에쓰,,,,,성신양회,,,제일바이오,,금호전기,,해태제과식품,,삼일기업공사,,,,,성광벤드,,,시그네틱스,,,텔코웨어,,,이원컴포텍,코센,,,,,,삼양통상,,,,,,,,,,,,,,성보화학,,,바이오리더스,,동국산업,,모아텍,,,,,,
와이디온라인,,,,,,SK바이오랜드,YTN,멕아이씨에스,,,,오이솔루션,,,,대신정보통신,이즈미디어,,,,,유진기업,,,코스맥스비티아이,,넥스트아이,,SPC삼립,,금화피에스시,,,,,스맥,,,싸이맥스,,,윈스,,,코리아에프티,제낙스,,,,,,남영비비안,,,,,,,,,,,,,,삼영화학,,,바이로메드,,한국철강,,옵트론텍,,,,,,
엔터메이트,,,,,,MP한강,KMH,제이브이엠,,,,유비쿼스,,,,현대정보기술,에임하이,,,,,벽산,,,JW신약,,GRT,,동원수산,,성지건설,,,,,SIMPAC,,,테크윙,,,알티캐스트,,,티에이치엔,국일신동,,,,,,전방,,,,,,,,,,,,,,도레이케미칼,,,제노포커스,,하이스틸,,이트론,,,,,,
룽투코리아,,,,,,,로엔,엘앤케이바이오,,,,삼지전자,,,,콤텍시스템,유테크,,,,,보광산업,,,국제약품,,동아엘텍,,한성기업,,신한,,,,,화성밸브,,,한국전자홀딩스,,,포비스티앤씨,,,로스웰,한국내화,,,,,,경방,,,,,,,,,,,,,,진양폴리,,,메디포스트,,만호제강,,한국정보공학,,,,,,
,,,,,,,SBS,휴비츠,,,,기산텔레콤,,,,한국전자인증,태양씨앤엘,,,,,서산,,,내츄럴엔도텍,,세미콘라이트,,신송홀딩스,,도화엔지니어링,,,,,S&TC,,,인텍플러스,,,엔지스테크널러지,,,SJM홀딩스,대양금속,,,,,,LS네트웍스,,,,,,,,,,,,,,한농화성,,,티슈진(Reg.S),,세아제강,,옴니시스템,,,,,,
,,,,,,,이스타코,,,,,알엔투테크놀로지,,,,팍스넷,이라이콤,,,,,쌍용양회,,,씨트리,,에프엔에스테크,,대한제분,,희림,,,,,로보스타,,,원익QnC,,,다우인큐브,,,아트라스BX,포스코켐텍,,,,,,코데즈컴바인,,,,,,,,,,,,,,KPX그린케미칼,,,,,광진실업,,슈프리마,,,,,,
,,,,,,,키이스트,,,,,에이텍티앤,,,,다우기술,디스플레이텍,,,,,대림씨엔에스,,,신풍제약,,매직마이크로,,농심,,우원개발,,,,,동양물산,,,제주반도체,,,모바일리더,,,한국큐빅,,,,,,,좋은사람들,,,,,,,,,,,,,,효성오앤비,,,,,세아홀딩스,,에스아이티글로벌,,,,,,
,,,,,,,스카이라이프,,,,,우리넷,,,,아이티센,에이프로젠 H&G,,,,,,,,제일파마홀딩스,,세진티에스,,정다운,,대우건설,,,,,기신정기,,,주성엔지니어링,,,넥스지,,,현대위아,,,,,,,F&F,,,,,,,,,,,,,,우노앤컴퍼니,,,,,SIMPAC Metal,,피씨디렉트,,,,,,
,,,,,,,세기상사,,,,,쏠리드,,,,대아티아이,알비케이이엠디,,,,,,,,현대약품,,덕산네오룩스,,사조동아원,,까뮤이앤씨,,,,,KC그린홀딩스,,,유니트론텍,,,토탈소프트,,,우리산업홀딩스,,,,,,,한세엠케이,,,,,,,,,,,,,,한솔씨앤피,,,,,휴스틸,,에스티큐브,,,,,,
,,,,,,,팬엔터테인먼트,,,,,라이트론,,,,로지시스,해성옵틱스,,,,,,,,팜스웰바이오,,DMS,,한국맥널티,,신세계건설,,,,,현대엘리베이,,,엑사이엔씨,,,코닉글로리,,,대유플러스,,,,,,,영원무역,,,,,,,,,,,,,,미원에스씨,,,,,대창스틸,,모비스,,,,,,
,,,,,,,이매진아시아,,,,,인텔리안테크,,,,한솔인티큐브,AP위성,,,,,,,,하이텍팜,,아이컴포넌트,,팜스토리,,한국종합기술,,,,,썬코어,,,큐에스아이,,,인프라웨어,,,대원강업,,,,,,,차이나그레이트,,,,,,,,,,,,,,스타플렉스,,,,,동일제강,,이수페타시스,,,,,,
,,,,,,,CJ헬로비전,,,,,CS,,,,브리지텍,디지탈옵틱,,,,,,,,명문제약,,레이젠,,하림,,동신건설,,,,,디케이락,,,GST,,,드림시큐리티,,,태양금속,,,,,,,이스트아시아홀딩스,,,,,,,,,,,,,,진양화학,,,,,한일철강,,세코닉스,,,,,,
,,,,,,,지니뮤직,,,,,케이엠더블유,,,,네오디안테크놀로지,앤디포스,,,,,,,,에스티팜,,우리조명,,풀무원,,동아지질,,,,,태광,,,디엔에프,,,,,,부산주공,,,,,,,한세실업,,,,,,,,,,,,,,에스폴리텍,,,,,고려제강,,우리기술,,,,,,
,,,,,,,투윈글로벌,,,,,에프알텍,,,,한국코퍼레이션,유아이엘,,,,,,,,한올바이오파마,,엘디티,,대상,,대림산업,,,,,신진에스엠,,,성도이엔지,,,,,,에스엘,,,,,,,웰크론,,,,,,,,,,,,,,휴비스,,,,,동국제강,,비덴트,,,,,,
,,,,,,,NEW,,,,,우리로,,,,미래테크놀로지,상신이디피,,,,,,,,한미약품,,이엘피,,우리손에프앤지,,한양이엔지,,,,,썬텍,,,뉴파워프라즈마,,,,,,삼성공조,,,,,,,윌비스,,,,,,,,,,,,,,율촌화학,,,,,세아베스틸,,뉴프렉스,,,,,,
,,,,,,,JYP Ent.,,,,,서화정보통신,,,,한컴지엠디,에스에이티,,,,,,,,대원제약,,아바코,,엠에스씨,,일진파워,,,,,비엠티,,,에스앤에스텍,,,,,,동아타이어,,,,,,,유니켐,,,,,,,,,,,,,,케이디켐,,,,,POSCO,,에스에이엠티,,,,,,
,,,,,,,대원미디어,,,,,아이앤씨,,,,쌍용정보통신,성우전자,,,,,,,,휴온스글로벌,,루미마이크로,,한탑,,포워드컴퍼니스,,,,,영풍정밀,,,삼성전자,,,,,,한국프랜지,,,,,,,휠라코리아,,,,,,,,,,,,,,나노신소재,,,,,동양철관,,동일기연,,,,,,
,,,,,,,갤럭시아에스엠,,,,,감마누,,,,미래아이앤지,EMW,,,,,,,,부광약품,,디에스케이,,동서,,서희건설,,,,,웰크론한텍,,,미래산업,,,,,,지코,,,,,,,SG세계물산,,,,,,,,,,,,,,바이온,,,,,한국특수형강,,아이엠,,,,,,
,,,,,,,,,,,,,,,,동양네트웍스,일야,,,,,,,,삼진제약,,인지디스플레,,마니커,,동부건설,,,,,포메탈,,,케이씨텍,,,,,,청보산업,,,,,,,TBH글로벌,,,,,,,,,,,,,,코오롱인더,,,,,KISCO홀딩스,,광전자,,,,,,
,,,,,,,,,,,,,,,,갤럭시아컴즈,인탑스,,,,,,,,KPX생명과학,,SK머티리얼즈,,제일홀딩스,,에쓰씨엔지니어링,,,,,대창단조,,,SFA반도체,,,,,,상신브레이크,,,,,,,리노스,,,,,,,,,,,,,,금호석유,,,,,,,고영,,,,,,
,,,,,,,,,,,,,,,,,멜파스,,,,,,,,종근당홀딩스,,참엔지니어링,,CJ씨푸드,,태영건설,,,,,케이피티,,,KMH하이텍,,,,,,오리엔트정공,,,,,,,원풍물산,,,,,,,,,,,,,,KPX케미칼,,,,,,,LG이노텍,,,,,,
,,,,,,,,,,,,,,,,,에스맥,,,,,,,,동국제약,,디이엔티,,대주산업,,삼호개발,,,,,우진,,,에이티테크놀러지,,,,,,넥센테크,,,,,,,아비스타,,,,,,,,,,,,,,롯데정밀화학,,,,,,,이녹스,,,,,,
,,,,,,,,,,,,,,,,,엘컴텍,,,,,,,,안국약품,,파인디앤씨,,농심홀딩스,,현대산업,,,,,동일고무벨트,,,오디텍,,,,,,대성파인텍,,,,,,,화승엔터프라이즈,,,,,,,,,,,,,,삼영무역,,,,,,,아이디스,,,,,,
,,,,,,,,,,,,,,,,,모베이스,,,,,,,,디에이치피코리아,,탑엔지니어링,,샘표,,KT서브마린,,,,,수산중공업,,,네패스신소재,,,,,,코리아오토글라스,,,,,,,신원,,,,,,,,,,,,,,AK홀딩스,,,,,,,카스,,,,,,
